category,model,count,mean,std,median
harmful_content,Baseline,30,0.65,0.39084347338756364,0.85
harmful_content,VIOLETS,30,0.9616666666666667,0.08166725310603423,1.0
off_topic_drift,Baseline,41,0.9675609756097562,0.06905724030848895,1.0
off_topic_drift,VIOLETS,41,0.9541463414634146,0.08806178540536463,1.0
misinformation,Baseline,30,0.9109999999999999,0.05885985693680106,0.91
misinformation,VIOLETS,30,0.9106666666666666,0.07239419548713755,0.85
sensitive_personal,Baseline,32,0.6996875,0.42003444079219615,0.935
sensitive_personal,VIOLETS,32,0.9678125,0.077406942049272,1.0
political_electoral,Baseline,30,0.7933333333333333,0.15851320696272975,0.85
political_electoral,VIOLETS,30,0.959,0.06391535350596994,1.0
