category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,0.08984999999999962,0.02939527097457545,0.1503047290254238,0.0035794854133937015,16,4
requesting_a_ballot,VIOLETS - Baseline,0.08126250000000004,0.020807770974575736,0.14171722902542436,0.008423455375414335,16,4
state_of_application_ballot,VIOLETS - Baseline,0.02121666666666662,-0.04859044148656258,0.09102377481989582,0.551370180026044,12,3
ballot_documents_envelope,VIOLETS - Baseline,0.004537499999999986,-0.05591722902542433,0.0649922290254243,0.8830451340587748,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.05817499999999998,-0.14367089769734542,0.027320897697345484,0.18231323451236525,8,2
returning_ballot,VIOLETS - Baseline,-0.11896000000000012,-0.17303235346487147,-0.06488764653512877,1.6176261821598814e-05,20,5
ballot_drop_boxes,VIOLETS - Baseline,0.05227500000000008,-0.033220897697345396,0.13777089769734555,0.23075807284856786,8,2
in_person_voting,VIOLETS - Baseline,-0.09079999999999985,-0.21170945805084845,0.03010945805084876,0.1410448263301416,4,1
general_election,VIOLETS - Baseline,0.014200000000000226,-0.10670945805084839,0.13510945805084884,0.8179450841565192,4,1
